Taxon name,Phylum/Division,Class,Order,Family,,AphiaID,Match type,LSID,ScientificName,AphiaID_accepted,ScientificName_accepted
Apeltes quadracus,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,,159436,exact,urn:lsid:marinespecies.org:taxname:159436,Apeltes quadracus,159436,Apeltes quadracus
Aphanopus carbo,Chordata,Actinopterygii,Perciformes,Trichiuridae,,127085,exact,urn:lsid:marinespecies.org:taxname:127085,Aphanopus carbo,127085,Aphanopus carbo
Apogon maculatus,Chordata,Actinopterygii,Perciformes,Apogonidae,,159589,exact,urn:lsid:marinespecies.org:taxname:159589,Apogon maculatus,159589,Apogon maculatus
Apogon pseudomaculatus,Chordata,Actinopterygii,Perciformes,Apogonidae,,159590,exact,urn:lsid:marinespecies.org:taxname:159590,Apogon pseudomaculatus,159590,Apogon pseudomaculatus
Apristurus laurussoni,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,,298467,exact,urn:lsid:marinespecies.org:taxname:298467,Apristurus laurussoni,105807,Apristurus laurussonii
Apristurus manis,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,,105808,exact,urn:lsid:marinespecies.org:taxname:105808,Apristurus manis,105808,Apristurus manis
Aquila chrysaetos,Chordata,Aves,Ciconiiformes,Accipitridae,,159107,exact,urn:lsid:marinespecies.org:taxname:159107,Aquila chrysaetos,159107,Aquila chrysaetos
Archosargus probatocephalus,Chordata,Actinopterygii,Perciformes,Sparidae,,159238,exact,urn:lsid:marinespecies.org:taxname:159238,Archosargus probatocephalus,159238,Archosargus probatocephalus
Arctozenus risso,Chordata,Actinopterygii,Aulopiformes,Paralepididae,,126352,exact,urn:lsid:marinespecies.org:taxname:126352,Arctozenus risso,126352,Arctozenus risso
Ardea alba,Chordata,Aves,Ciconiiformes,Ardeidae,,159381,exact,urn:lsid:marinespecies.org:taxname:159381,Ardea alba,159381,Ardea alba
Ardea herodias,Chordata,Aves,Ciconiiformes,Ardeidae,,159382,exact,urn:lsid:marinespecies.org:taxname:159382,Ardea herodias,159382,Ardea herodias
Arenaria interpres,Chordata,Aves,Ciconiiformes,Scolopacidae,,147431,exact,urn:lsid:marinespecies.org:taxname:147431,Arenaria interpres,147431,Arenaria interpres
Argentina silus,Chordata,Actinopterygii,Osmeriformes,Argentinidae,,126715,exact,urn:lsid:marinespecies.org:taxname:126715,Argentina silus,126715,Argentina silus
